Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
22477,JU JP SF EXP,JODHPUR JN.,JAIPUR JN.,Thursday,1,Weekday
22478,JP JU SF EXP,JAIPUR JN.,JODHPUR JN.,Wednesday,1,Weekday
22481,JU DEE SF EX,JODHPUR JN.,DELHI-SARAI ROHILLA,Tuesday,1,Weekday
22482,DEE JU SF EX,DELHI-SARAI ROHILLA,JODHPUR JN.,Saturday,1,Weekend
22483,JU GIMB SF E,JODHPUR JN.,GANDHIDHAM JN.,Monday,1,Weekday
22484,JODHPUR EXPR,GANDHIDHAM JN.,JODHPUR JN.,Saturday,1,Weekend
22487,RDP-KIR EXPR,RADHIKAPUR,KATIHAR JN.,Thursday,1,Weekday
22488,KIR-RDP EXPR,KATIHAR JN.,RADHIKAPUR,Friday,1,Weekday
22497,SGNR TPJ HUM,SHRI GANGANAGAR,TIRUCHIRAPPALLI JN.,Thursday,1,Weekday
22501,SBC - NTSK S,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),NEW TINSUKIA JN,Wednesday,1,Weekday
22502,NTSK - SBC S,NEW TINSUKIA JN,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Friday,1,Weekday
22511,KARMABHOOMI,LOKMANYA TILAK TERMINUS,KAMAKHYA JN,Tuesday,1,Weekday
22512,KARMABHOOMI,KAMAKHYA JN,LOKMANYA TILAK TERMINUS,Saturday,1,Weekend
22531,chhapra-math,CHHAPRA JN.,MATHURA JN.,Thursday,1,Weekday
22532,mathura - ch,MATHURA JN.,CHHAPRA JN.,Sunday,1,Weekend
22601,MAS-SNSI EXP,CHENNAI CENTRAL,SAI NAGAR SHIRDI,Friday,1,Weekday
22602,SNSI-MAS EXP,SAI NAGAR SHIRDI,CHENNAI CENTRAL,Monday,1,Weekday
22603,KGP VM BI-WK,KHARAGPUR,VILLUPURAM JN.,Sunday,1,Weekend
22604,VM-KGP BI-WK,VILLUPURAM JN.,KHARAGPUR,Monday,1,Weekday
22605,PRR-VM WKLY,PURULIA JN.,VILLUPURAM JN.,Saturday,1,Weekend
22606,VM-PRR WKLY,VILLUPURAM JN.,PURULIA JN.,Sunday,1,Weekend
22607,BANGALORE SF,ERNAKULAM. JN,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Tuesday,1,Weekday
22608,ERNAKULAM SF,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),ERNAKULAM. JN,Saturday,1,Weekend
22609,MAQ-CBE INTE,MANGALORE CENTRAL,COIMBATORE  JN.,Friday,1,Weekday
22610,CBE-MAQ INTE,COIMBATORE  JN.,MANGALORE CENTRAL,Wednesday,1,Weekday
22611,MAS NJP EXPR,CHENNAI CENTRAL,NEW JALPAIGURI JN,Saturday,1,Weekend
22612,NJP MAS EXPR,NEW JALPAIGURI JN,CHENNAI CENTRAL,Monday,1,Weekday
22613,MAS-HLZ WEEK,CHENNAI CENTRAL,HALDIA,Friday,1,Weekday
22614,HLZ-MAS WEEK,HALDIA,CHENNAI CENTRAL,Monday,1,Weekday
22615,TPTY-CBE  EX,TIRUPATI,COIMBATORE  JN.,Monday,1,Weekday
22616,CBE-TPTY EXP,COIMBATORE  JN.,TIRUPATI,Monday,1,Weekday
22617,SBC-TPTY  EX,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),TIRUPATI,Monday,1,Weekday
22618,TPTY-SBC  EX,TIRUPATI,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Tuesday,1,Weekday
22619,BSP TEN  WEE,BILASPUR JN.,TIRUNELVELI JN,Monday,1,Weekday
22620,TEN BSP  WEE,TIRUNELVELI JN,BILASPUR JN.,Monday,1,Weekday
22621,RMM-CAPE SUP,RAMESWARAM,KANNIYAKUMARI,Sunday,1,Weekend
22622,CAPE-RMM SUP,KANNIYAKUMARI,RAMESWARAM,Tuesday,1,Weekday
22623,MS MDU SUPER,CHENNAI EGMORE,MADURAI JN,Thursday,1,Weekday
22624,MDU MS SUPER,MADURAI JN,CHENNAI EGMORE,Sunday,1,Weekend
22625,MAS-SBC AC D,CHENNAI CENTRAL,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Monday,1,Weekday
22626,SBC-MAS AC D,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),CHENNAI CENTRAL,Saturday,1,Weekend
22627,TPJ-TVC INTE,TIRUCHIRAPPALLI JN.,TRIVANDRUM CENTRAL,Wednesday,1,Weekday
22628,TVC-TPJ INTE,TRIVANDRUM CENTRAL,TIRUCHIRAPPALLI JN.,Friday,1,Weekday
22629,DADAR TEN EX,DADAR,TIRUNELVELI JN,Sunday,1,Weekend
22630,TEN DR EXPRE,TIRUNELVELI JN,DADAR,Friday,1,Weekday
22631,MAS-BKN ANUR,CHENNAI CENTRAL,BIKANER JN.,Thursday,1,Weekday
22632,BKN-MAS  ANU,BIKANER JN.,CHENNAI CENTRAL,Monday,1,Weekday
22633,NIZAMUDDIN E,TRIVANDRUM CENTRAL,HAZRAT NIZAMUDDIN JN,Wednesday,1,Weekday
22634,NZM TVC SF E,HAZRAT NIZAMUDDIN JN,TRIVANDRUM CENTRAL,Sunday,1,Weekend
